phrase,count,examples,reasons,suspected_non_name
there,33,"div>&nbsp;</div></div><div>Hi there,</div><div>&nbsp;</div><div>I",greeting,TRUE
Guzi He,15,"lCompose"">From:</strong>&nbsp;Guzi He &lt;[EMAIL]&gt;</div><div><di",full_name,TRUE
Yuchen He,14," I-20</p><p>&nbsp;</p><p>Dear Yuchen He,</p><p>&nbsp;</p><p>Your curr","full_name, greeting",TRUE
Umaru Afiz A. Sesay,14,"regards,</div><div dir=""auto"">Umaru Afiz A. Sesay</div><div dir=""auto"">AU ID: 5",full_name,TRUE
Sir or Madam,13," 2022</p><p>&nbsp;</p><p>Dear Sir or Madam,</p><p><br /> My name is Juli",greeting,TRUE
he,13,"nt, Yucheng, notified us that he had applied to transfer out t",last_token,TRUE
I,11,"em OPT</p><p>&nbsp;</p><p>Hi, I'm sending a screenshot of the",greeting,TRUE
Hope,9,"py-source=""MailCompose"">Hello Hope,</div><div>&nbsp;</div><div>I","first_only, greeting",TRUE
International Students,8,"(MPP)</p><p>&nbsp;</p><p>Dear International Students,</p><p>&nbsp;</p><p>Congratul",greeting,TRUE
Hope Nyoni,7,r /><strong>To:</strong>&nbsp;Hope Nyoni &lt;[EMAIL]&gt;<br /><strong>,full_name,TRUE
Admissions Team,7,oved!</p><p>&nbsp;</p><p>Dear Admissions Team!</p><p>I am thrilled to infor,greeting,TRUE
Hope Mutema,6,"adonly=""true"" aria-label=""To: Hope Mutema"">?<div class=""fui-PresenceBad",full_name,TRUE
International Service Office,5,"p;High</p></div></div><p>Dear International Service Office Representative,&nbsp;</p><p>T",greeting,TRUE
AHMED MOHAMED A AL OMARI,5,Subject: </strong>Re: 5393033 AHMED MOHAMED A AL OMARI - Program Extension Request</,full_name,TRUE
Sir and Madam,5," I-20</p><p>&nbsp;</p><p>Dear Sir and Madam,</p><p>&nbsp;</p><p>Thank you",greeting,TRUE
ISS Team,5,"4063)</p><p>&nbsp;</p><p>Dear ISS Team,</p><p>I hope this email find",greeting,TRUE
AU International Student,5,"v>&nbsp;</div></div><div>Dear AU International Student Services Unit,</div><div>I ho",greeting,TRUE
International Office,5,"ities</p><p>&nbsp;</p><p>Dear International Office,</p><p><br />I hope this emai",greeting,TRUE
in,4,contact the admissions office in regards of any information re,first_only,TRUE
I am Sehoon,4,"ent</p><p>&nbsp;</p><p>Hello, I am Sehoon Kim. My AU ID is 5531882. Tha",greeting,TRUE
good morning from,4,"WIFr_Nm5jq4MFdIOd0Nn4cWD$"">Hi good morning from Nigeria,my name is Chinero Nw",greeting,TRUE
ISSA Office,4,"=""ltr""><div dir=""ltr""><p>Dear ISSA Office,</p><p>I hope this message fi",greeting,TRUE
ISSS Office Team,4,"Setup</p><p>&nbsp;</p><p>Dear ISSS Office Team,</p><p>&nbsp;</p><p>I hope th",greeting,TRUE
sir or madam,4,n i20</p><p>&nbsp;</p><p>Dear sir or madam&nbsp;</p><p>&nbsp;</p><p>Morn,greeting,TRUE
Zhixian He,4,"PM<br /> <strong>To:</strong> Zhixian He &lt;<a href=""mailto:[EMAIL]"">",full_name,TRUE
members of the,4," Visa</p><p>&nbsp;</p><p>Dear members of the ISSS Team,</p><p>&nbsp;</p><p",greeting,TRUE
American University ISSS,4,"r""><div>&nbsp;</div><div>Dear American University ISSS Office staff,</div><div>&nbsp",greeting,TRUE
I am Yasir,3,process</p><p>&nbsp;</p><p>Hi I am Yasir and I am a PhD student at SPA,greeting,TRUE
ISS team,3,"ation</p><p>&nbsp;</p><p>Dear ISS team,</p><p>I kindly request your ",greeting,TRUE
In Pak,3,"<p>Hello In Pak,</p><p>&nbsp;</p><p>Thanks fo","full_name, greeting",TRUE
International Student Services,3,"div>&nbsp;</div></div><div>Hi International Student Services Team,&nbsp;</div><div>I am su",greeting,TRUE
Stanislav or Stas Vorozheikin,3,"PM<br /> <strong>To:</strong> Stanislav or Stas Vorozheikin &lt;<a href=""mailto:[EMAIL]"">",full_name,TRUE
Student,3,"lment</p><p>&nbsp;</p><p>Dear Student,</p><p>&nbsp;</p><p>We are wr",greeting,TRUE
Kogod Graduate Admissions,3,"ltr""><div dir=""ltr""><div>Dear Kogod Graduate Admissions Team,</div><div>I hope this m",greeting,TRUE
Alissa and Dr,3,ange</p><p>&nbsp;</p><p>Hello Alissa and Dr. Arpaci;</p><p>&nbsp;</p><p>I,greeting,TRUE
Dear,3,"I-20</p><p>&nbsp;</p><p>Hello Dear,</p><p>I wrote to your team e",greeting,TRUE
There,3,"div>&nbsp;</div></div><div>Hi There,</div><div>&nbsp;</div><div>H",greeting,TRUE
He,3,lation Submitted for Kristina He</p><p>&nbsp;</p><p>A petition,last_token,TRUE
good morning,2,"ing</p><p>&nbsp;</p><p>Hello, good morning</p><p>&nbsp;</p><p>Hope this ",greeting,TRUE
this is Yuri,2,"><div>&nbsp;</div><div>Hello, this is Yuri Na (AU ID: 5264867)</div><div",greeting,TRUE
I hope all,2,"I20</p><p>&nbsp;</p><p>Hello, I hope all is well. I sent in all my req",greeting,TRUE
I just wanted,2,"-20</p><p>&nbsp;</p><p>Hello, I just wanted to be sure that I need to sen",greeting,TRUE
ISSSO Team,2,"v>&nbsp;</div></div><div>Dear ISSSO Team,</div><div>I hope this email ",greeting,TRUE
University Registrar Team,2,"scribed as:?&nbsp;<br /> Dear University Registrar Team,<br /> <br /> I hope this ema",greeting,TRUE
good morning and,2,"and attachments.</p><p>Hello, good morning and I'm glad to hear from you</p>",greeting,TRUE
Lamin a Sanneh,2,</p><p><strong>From:</strong> Lamin a Sanneh &lt;[EMAIL]&gt; <br /> <stron,full_name,TRUE
I wanted to,2,"ension</p><p>&nbsp;</p><p>Hi, I wanted to ask how to apply for my OPT e",greeting,TRUE
Clark Morris it,2,</tr></tbody></table><p>Hello Clark Morris it's me chernor maju Bah from Si,greeting,TRUE
I will travel,2,"&nbsp;</div></div><div>Hello, I will travel outside the United States, so",greeting,TRUE
ISSS department,2,"s May</p><p>&nbsp;</p><p>Dear ISSS department,&nbsp;</p><p>I'm Yuteng Han a",greeting,TRUE
Admissions Office,2,"native Option<br /><br />Dear Admissions Office,<br /><br />I hope you&rsquo;",greeting,TRUE
ISS Office,2, Date</p><p>&nbsp;</p><p>Dear ISS Office&nbsp;</p><p>I hope this messa,greeting,TRUE
Prodigy Finance Team,2," Ansumana</strong></p><p>Dear Prodigy Finance Team,</p><p>I am writing to respec",greeting,TRUE
Zeyu and Sam,2,"n<br /><br /></div><div>Hello Zeyu and Sam,</div><div>&nbsp;</div><div>T",greeting,TRUE
Olusoji I. Adenekan,2,"ge finds you well. My name is Olusoji I. Adenekan, and I am a recent graduate o",full_name,TRUE
AU SPA Admissions,2,"/p></div><p>&nbsp;</p><p>Dear AU SPA Admissions Team (and ISSS Office),<br />",greeting,TRUE
Office of the,2,"v>&nbsp;</div></div><div>Dear Office of the Registrar,</div><div>My name ",greeting,TRUE
good day,2,"<p class=""x_MsoNormal"">Hello, good day,</p><p class=""x_MsoNormal"">If",greeting,TRUE
international students and,2,"d></tr><tr><td><p><br /> Dear international students and scholars, <br /> <br /> This ",greeting,TRUE
I am an,2,"SS:</p><p>&nbsp;</p><p>Hello, I am an rising L2 international stude",greeting,TRUE
Andrea and Uswa,2,"<p>Hello Andrea and Uswa,</p><p>&nbsp;</p><p>Thanks fo",greeting,TRUE
Ben and ISSS,2,"L]</a>&gt; wrote:</p><p>Hello Ben and ISSS,</p><p>Kindly receive the att",greeting,TRUE
Lauren and Laurel,2,"k4mnaTkUyya3yQaA5AFgi$"">Hello Lauren and Laurel,</a></p><p><a href=""https://u",greeting,TRUE
International students and,2,"ass=""rps_f61a""><div><div>Dear International students and Scholar Service team,</div><d",greeting,TRUE
International Students and,2,"r><tr><td width=""602""><p>Dear International Students and Scholars,<br /> <br /> <stron",greeting,TRUE
Tariq and the,2,"equired</p><p>&nbsp;</p><p>Hi Tariq and the team,</p><p>&nbsp;</p><p>This",greeting,TRUE
"He, Yucheng",2,"IS Completed Record<br /> To: He, Yucheng &lt;<a href=""mailto:[EMAIL]"">",last_first,TRUE
this is Nobuomi,2,cern</p><p>&nbsp;</p><p>Hello this is Nobuomi. I am not sure I need to let ,greeting,TRUE
ISSS Employment and,2,"ization</p><p>&nbsp;</p><p>Hi ISSS Employment and Kaddijatou,<br /><br />Thank ",greeting,TRUE
American University Team,2,"dir=""auto""><p dir=""auto"">Dear American University Team,</p><p dir=""auto"">I hope this",greeting,TRUE
I am Nabtahil,2,"rocess</p><p>&nbsp;</p><p>Hi, I am Nabtahil Iqbal, recently admitted to P",greeting,TRUE
Rene and Professor,1,"n=""true"">&nbsp;</p><div><p>Hi Rene and Professor Dan,</p></div><div><p>I hope ",greeting,TRUE
Yohana and Melanija,1,"<p>Hello Yohana and Melanija,</p><p>&nbsp;</p><p>Thank you",greeting,TRUE
Thansk you for,1,"ice</p><p>&nbsp;</p><p>Hello, Thansk you for the info. Here is a Transfer ",greeting,TRUE
Sir or Ma,1,"ortal</p><p>&nbsp;</p><p>Dear Sir or Ma'am,</p><p>&nbsp;</p><p>I hope",greeting,TRUE
Staff of KogodGrad,1,"t;[EMAIL]&gt; wrote:<div>Dear Staff of KogodGrad,</div><div>&nbsp;</div><div>I",greeting,TRUE
Student Services AU,1,"div>&nbsp;</div></div><p>Dear Student Services AU,</p><p>I hope this email find",greeting,TRUE
Samuel A. Ogunti,1,"br /><br />Best regards,<br />Samuel A. Ogunti</p></div></div></div></div></",full_name,TRUE
Suzanne and Christian,1,"<p>Hi Suzanne and Christian,</p><p>ISSS has been doing we",greeting,TRUE
This is Jiatong,1,"rue"">&nbsp;</div></div><p>Hi, This is Jiatong Jiao, currently enrolled at A",greeting,TRUE
Tara and Imran,1,"-copy-source=""MessageBody"">Hi Tara and Imran,</div><div class=""x_elementTo",greeting,TRUE
Team ISSS,1,">&nbsp;</div></div><div>Hello Team ISSS,&nbsp;</div><div>&nbsp;</div>",greeting,TRUE
Rene and Paul,1,"<p>Hi Rene and Paul,</p><p>Thank you for contacti",greeting,TRUE
Yiyou He,1,</p><p><strong>From:</strong> Yiyou He &lt;[EMAIL]&gt; <br /> <stron,full_name,TRUE
Yazhen and Sam,1,"l><head></head><body><p>Hello Yazhen and Sam,</p><p>Thank you for contacti",greeting,TRUE
Victor and Melanija,1,"ents.&nbsp;</p><hr /><p>Hello Victor and Melanija,</p><p>Thank you for sending ",greeting,TRUE
This is Junhao,1,"<div>&nbsp;</div></div><p>Hi, This is Junhao Ma, AUID 5552579, I have subm",greeting,TRUE
Respectable Office,1,"layed</p><p>&nbsp;</p><p>Dear Respectable Office,</p><p>&nbsp;</p><p>I am Fato",greeting,TRUE
Robin and Senem,1,"=""ltr""><div dir=""ltr""><p>Dear Robin and Senem,</p><p>Thank you for providin",greeting,TRUE
Zihe and Dr,1,"<p>Hello, Zihe and Dr. Banerjee&mdash;</p><p>&nbsp;",greeting,TRUE
Professor Levinson and,1,"nternship End Date</p><p>Dear Professor Levinson and Justina,</p><p>I hope you are",greeting,TRUE
SPA team,1,";High</p></div></div><p>Hello SPA team,</p><p>We hope you are all we",greeting,TRUE
Sam and Liora,1,">&nbsp;</div></div><div>Hello Sam and Liora,</div><div>&nbsp;</div><div>W",greeting,TRUE
good morning please,1,025]</p><p>&nbsp;</p><p>Hello good morning please this is Prosper Eshun&nbsp;</,greeting,TRUE
am I a,1,"&nbsp;</div></div><div>Hello, am I a current student?<br /><br /><",greeting,TRUE
this is Jaewoo,1,"</div><div><div dir=""ltr"">Hi, this is Jaewoo Song who asked for the past D",greeting,TRUE
sir or,1,"v>&nbsp;</div></div><div>Dear sir or&nbsp;ma'am,</div><div>&nbsp;<",greeting,TRUE
so my OPT,1, Record</p><p>&nbsp;</p><p>Hi so my OPT document is ready but somehow,greeting,TRUE
staff,1,">&nbsp;</div></div><div>Hello staff,</div><div>&nbsp;</div><div>I",greeting,TRUE
still waiting for,1," Graduation and OPT</p><p>Hi, still waiting for the response.</p><p>&nbsp;</p",greeting,TRUE
student,1,"div>&nbsp;</div></div><p>Dear student,</p><p>&nbsp;</p><p>According",greeting,TRUE
thank you very,1,"iv>&nbsp;</div></div><div>Hi, thank you very much for the answer. I will b",greeting,TRUE
the Keystone bank,1,"iew</p><p>&nbsp;</p><p>Hello, the Keystone bank account I submitted is my per",greeting,TRUE
the dean of,1,"ir=""ltr""><div dir=""ltr"">Hello the dean of students told me to reach out",greeting,TRUE
this is Byunghak,1,"rmRE:<br />&nbsp;<br />Hello, this is Byunghak Kang and yes I&rsquo;m going ",greeting,TRUE
this is Hangyeol,1," you well.&nbsp;</p><p>Hello, this is Hangyeol Park.&nbsp;</p><p>Currently, ",greeting,TRUE
this is JiaJie,1," issue</p><p>&nbsp;</p><p>Hi, this is JiaJie Liu, my student id is 5629397",greeting,TRUE
and thank you,1, my I20</p><p>&nbsp;</p><p>Hi and thank you for sending my I20. I appreci,greeting,TRUE
this is Jiyoo,1," concern,<br /> <br /> Hello, this is Jiyoo Park who was attending Americ",greeting,TRUE
this is Junhao,1,"<div>&nbsp;</div></div><p>Hi, this is Junhao Ma. Thank you for your reply.",greeting,TRUE
this is Sooyeun,1,"&nbsp;</div></div><div>Hello, this is Sooyeun Kim</div><div id=""x_ms-outloo",greeting,TRUE
this is Yubeen,1,"Number</p><p>&nbsp;</p><p>Hi, this is Yubeen Jeong from Abroad AU.</p><p>&",greeting,TRUE
this is Yuxuan,1,"><div>&nbsp;</div><div>Hello, this is Yuxuan Liang AU ID:5154585 and I&rsq",greeting,TRUE
this is depeng,1,"<div>Hi, this is depeng zeng&nbsp;</div><div>I am sor",greeting,TRUE
to whom it,1,"class=""x_elementToProof"">Dear to whom it may concern,</div><div class=",greeting,TRUE
to whom this,1,">&nbsp;</div></div><div>Hello to whom this may concern,</div><div>&nbsp;",greeting,TRUE
to you both,1,>&nbsp;</div></div><div>Hello to you both!</div><div>&nbsp;</div><div>T,greeting,TRUE
when could i,1,"trong></p><p>&nbsp;</p><p>Hi, when could i get the new I-20</p>",greeting,TRUE
sir now I,1,sions</p><p>&nbsp;</p><p>Dear sir now I understand where the problem&,greeting,TRUE
respected university students,1,>&nbsp;</div></div><div>Hello respected university students.&nbsp;</div><div>I am LLM stu,greeting,TRUE
recently I am,1,"SS:</p><p>&nbsp;</p><p>Hello, recently I am considering to obtain a US dr",greeting,TRUE
please the address,1,"&nbsp;</div></div><div>Hello, please the address for Ghana Commercial Bank is ",greeting,TRUE
