phrase,count,examples,reasons,suspected_non_name
and thanks for,1,"<div>Rachel,<div>&nbsp; Hello and thanks for teaching out.&nbsp; The stude",greeting,TRUE
but also to,1,<p>Student came in to say hi but also to inquire about possible offer ,greeting,TRUE
can you please,1,"editable_content""><div>Hello, can you please inform me if my ISSS document",greeting,TRUE
concerned department,1,"v>&nbsp;</div></div><div>Dear concerned department,</div><div>&nbsp;</div><div>I",greeting,TRUE
dear Clark,1,"t: </strong>Re: I-20</p><p>Hi dear Clark</p><p>&nbsp;</p><p>yes, I hav",greeting,TRUE
dear clark,1,bject: </strong>I-20</p><p>Hi dear clark</p><p>&nbsp;</p><p>I hope thi,greeting,TRUE
dear issss team,1," refuse</p><p>&nbsp;</p><p>Hi dear issss team,</p><p>&nbsp;</p><p>thanks fo",greeting,TRUE
good,1,UIRY</p><p>&nbsp;</p><p>Hello good&nbsp;day.I am writing to requ,greeting,TRUE
Office of ISSS,1,"ation</p><p>&nbsp;</p><p>Dear Office of ISSS:</p><p>&nbsp;</p><p>Hello, re",greeting,TRUE
has my new,1,"sp;</p><p>&nbsp;</p><p>Hello, has my new i20 application been successf",greeting,TRUE
hope,1,r  student</p></div><div><p>I hope my email finds you&nbsp;well.,first_only,TRUE
hope all is,1,"c""><div dir=""ltr""><div>Hello, hope all is well. This is Jose Martinez (",greeting,TRUE
hope your day,1,"df</a></p><p>&nbsp;</p><p>Hi, hope your day is going well. As regard the ",greeting,TRUE
how are you,1,"ubt</p><p>&nbsp;</p><p>Hello, how are you?</p><p>I'm trying to do the """,greeting,TRUE
i have now,1,";</div></div><div><div>Hello, i have now registered for 9 credits. Ple",greeting,TRUE
i hope all,1,"39)</p><p>&nbsp;</p><p>hello, i hope all is well. I thank you all for ",greeting,TRUE
im a ACDC,1,"iv>&nbsp;</div></div><div>Hi, im a ACDC student, I will flying back t",greeting,TRUE
jia and Nicole,1," Record</p><p>&nbsp;</p><p>Hi jia and Nicole,&nbsp;</p><p>&nbsp;</p><p>&nb",greeting,TRUE
madam or sir,1,v>&nbsp;</div></div><div>Dear madam or sir:</div><div>&nbsp; &nbsp; &nbs,greeting,TRUE
manager,1,"v dir=""ltr""><div dir=""ltr"">Hi manager</div><div dir=""ltr"">&nbsp;</d",greeting,TRUE
may I have,1,"ficer</div><div dir=""ltr"">Hi, may I have a travel signature for my I-2",greeting,TRUE
Office of International,1,"551""><div dir=""ltr""><div>Dear Office of International Student and Scholar Services,",greeting,TRUE
Jennifer and Cristina,1,<p>Hello Jennifer and Cristina;</p><p>&nbsp;</p><p>This is A,greeting,TRUE
Nora and Robin,1,"div>&nbsp;</div></div><div>Hi Nora and Robin,</div><div>Thank you for your",greeting,TRUE
I am currently,1,"div><div class=""_nzWz"">Hello, I am currently at the Bank with my Sponsor t",greeting,TRUE
Good afternoon,1,"trong></p><p>&nbsp;</p><p>Hi, Good afternoon&nbsp;</p><p>I'm an EAP studen",greeting,TRUE
Graduate Admission Office,1," I-20</p><p>&nbsp;</p><p>Dear Graduate Admission Office,<br /> <br /> I hope you are ",greeting,TRUE
Graduate Admissions Team,1,"rong></p><p>&nbsp;</p><p>Dear Graduate Admissions Team,&nbsp;</p><p>&nbsp;</p><p>I h",greeting,TRUE
Graduate Team,1,"Email</p><p>&nbsp;</p><p>Dear Graduate Team,</p><p>&nbsp;</p><p>I am Must",greeting,TRUE
Gurdev and Jonathan,1,"div>&nbsp;</div></div><div>Hi Gurdev and Jonathan,</div><div>&nbsp;</div><div>T",greeting,TRUE
Helena and Regina,1,"rom ELTA to Inlingua</p><p>Hi Helena and Regina,</p><p>I was informed that Re",greeting,TRUE
Hope this message,1,v>&nbsp;</div></div><div>Hi - Hope this message finds you well!&nbsp;</div><d,greeting,TRUE
I am Jaeyeon,1,"eer</p><p>&nbsp;</p><p>Hello, I am Jaeyeon Kim, and I am currently doing",greeting,TRUE
I am LiWei,1,"&nbsp;</div></div><div>Hello, I am LiWei Wu. I'd like to ask if I can ",greeting,TRUE
I am Sungcheol,1,"summer</p><p>&nbsp;</p><p>Hi, I am Sungcheol, PhD student at SIS.</p><p>&n",greeting,TRUE
I am depeng,1,/strong> depeng zeng</p><p>hi I am depeng zeng. I want to confirm that ,greeting,TRUE
Nicordia and Kogod,1,"roval</p><p>&nbsp;</p><p>Dear Nicordia and Kogod Graduate Admissions,</p><p>&n",greeting,TRUE
I am going,1,"iEagle</p><p>&nbsp;</p><p>Hi, I am going home for the weekend to visit",greeting,TRUE
I am new,1,>&nbsp;</div></div><div>Hello I am new sjd student at American Unive,greeting,TRUE
I am reaching,1,"Professor Levinson,</p><p>Hi, I am reaching out to ask about my internshi",greeting,TRUE
I entered today,1,"isa</p><p>&nbsp;</p><p>Hello, I entered today at Dulles.&nbsp;</p><p>&nbsp;",greeting,TRUE
I have got,1,"cation</p><p>&nbsp;</p><p>Hi, I have got a job with AU pathon and want",greeting,TRUE
I just received,1,"DSO</p><p>&nbsp;</p><p>Hello, I just received&nbsp;my EAD card yesterday, u",greeting,TRUE
I just sent,1,"ass=""x_elementToProof"">Hello, I just sent the request for the travel si",greeting,TRUE
I need to,1,"i20</p><p>&nbsp;</p><p>Hello, I need to download the i20 but I can't ",greeting,TRUE
I need urgent,1,"igh</p><p>&nbsp;</p><p>Hello, I need urgent help filling in the second pa",greeting,TRUE
I recently submitted,1,"iv><div><div dir=""ltr"">Hello, I recently submitted documents for processing&nbsp",greeting,TRUE
Good Morning,1,"ies</p><p>&nbsp;</p><p>Hello, Good Morning.&nbsp;</p><p>&nbsp;</p><p>My ",greeting,TRUE
Francisco A. Rezzonico,1,"><div>Kind regards,</div><div>Francisco A. Rezzonico</div>",full_name,TRUE
Finance Office,1,"</div></div><p dir=""ltr"">Dear Finance Office</p><p dir=""ltr"">This is my se",greeting,TRUE
Felipe and Sam,1,<p>Hello Felipe and Sam!</p><p>&nbsp;</p><p>We can co,greeting,TRUE
AU International Office,1,"div>&nbsp;</div></div><p>Dear AU International Office,</p><p>Thank you for acceptin",greeting,TRUE
Academic Integrity Office,1,"<p>Dear Academic Integrity Office and Support Center,</p><p>&nb",greeting,TRUE
Admissions Committee,1," Form</p><p>&nbsp;</p><p>Dear Admissions Committee,</p><p>I hope this email find",greeting,TRUE
Admissions office,1,<br /><br /><br /></p><p>Dear Admissions office</p><p>I hope this message fin,greeting,TRUE
Adriana and Dr,1,<p>Hello Adriana and Dr. Burgorgue;</p><p>&nbsp;</p><,greeting,TRUE
Alhaji and Nora,1,"9 credit hours</p><hr /><p>Hi Alhaji and Nora,</p><p>Thank you for letting ",greeting,TRUE
Alison and Abby,1,<p>Hello Alison and Abby;</p><p>&nbsp;</p><p>I wanted ,greeting,TRUE
American University Financial,1,v>&nbsp;</div></div><div>Dear American University Financial Aid Office and admissions tea,greeting,TRUE
American University Office,1,"uired</p><p>&nbsp;</p><p>Dear American University Office,</p><p>&nbsp;</p><p>Thank you",greeting,TRUE
Antonio and ISSS,1,"yle=""font-weight: 400;"">Hello Antonio and ISSS,</span></p><p style=""font-wei",greeting,TRUE
Ayman and Michelle,1,"r Senem and Dennix,<br />Dear Ayman and Michelle,<br /><br /></p><p>I am writi",greeting,TRUE
Ayoola and Melanija,1,"ractical track</p><hr /><p>Hi Ayoola and Melanija,</p><p>Attached is the comple",greeting,TRUE
Basile and dear,1,"<p>Dear Basile and dear Anna,</p><p>&nbsp;</p><p>The ",greeting,TRUE
Bedirhan and Elizabeth,1,"<p>Hello Bedirhan and Elizabeth;</p><p>&nbsp;</p><p><a href=""",greeting,TRUE
Bernardo and ISSS,1,"<p>Hello Bernardo and ISSS,</p><p>&nbsp;</p><p>Congratul",greeting,TRUE
Chifuniro and Wilford,1,"py-source=""MailCompose"">Hello Chifuniro and Wilford,</div><div>&nbsp;</div><div>T",greeting,TRUE
Dean of Students,1,""">&nbsp;</div></div><div>Dear Dean of Students and ISSS Team,</div><div>I ho",greeting,TRUE
Dear Advisor,1,"></div><div><div dir=""ltr"">Hi Dear Advisor,</div><div dir=""ltr"">&nbsp;</",greeting,TRUE
Emmanuella and Rene,1,"rom Sep - Dec)</p><hr /><p>Hi Emmanuella and Rene,</p><p>Thank you for this inf",greeting,TRUE
Evelyn and Nicole,1,"ide US</p><p>&nbsp;</p><p>Hi, Evelyn and Nicole,</p><p>Thank you for getting ",greeting,TRUE
Family of Quoc,1,"opy-source=""MailCompose"">Dear Family of Quoc Hien Vuong,</div><div>&nbsp;<",greeting,TRUE
I saw there,1,"strong></p><p>&nbsp;</p><p>hi,I saw there has a tuition need to pay for",greeting,TRUE
I sent email,1,"/p><p>Dear Officer,</p><p>Hi, I sent email to ISSS on August 3<sup>rd</s",greeting,TRUE
I want to,1,"Opt</p><p>&nbsp;</p><p>Hello, I want to apply for OPT what should I d",greeting,TRUE
International Student Service,1,"ue"">&nbsp;</div></div><p>Dear International Student Service Office,</p><p>&nbsp;</p><div>",greeting,TRUE
International Students Services,1,ents</p><p>&nbsp;</p><p>Hello International Students Services Team.</p><p>&nbsp;</p><p>I ho,greeting,TRUE
International Support Team,1,"v>&nbsp;</div></div><div>Dear International Support Team,</div><div>I am writing to in",greeting,TRUE
Italia and Cara,1,"<p>Hello Italia and Cara;</p><p>&nbsp;</p><p>Cara, my ",greeting,TRUE
AU ISSS Office,1,"2025)</p><p>&nbsp;</p><p>Dear AU ISSS Office,</p><p>Thank you for your gui",greeting,TRUE
Josh and ISSS,1,"div lang=""en-US""><div><p>Dear Josh and ISSS,</p><p>&nbsp;</p><p>I have de",greeting,TRUE
KSB ISSS Team,1,"v>&nbsp;</div></div><div>Dear KSB ISSS Team,</div><div>&nbsp;</div><div>I",greeting,TRUE
Kogod Admissions Team,1,"IL]</a>&gt; wrote:</p><p>Dear Kogod Admissions Team,</p><p>&nbsp;</p><p>Apologies",greeting,TRUE
Kogod Graduate Student,1,"uote><div>&nbsp;</div><p>Dear Kogod Graduate Student,</p><p>&nbsp;</p><p>Kogod Gra",greeting,TRUE
LAMIN A. SANNEH,1,><p>&nbsp;</p><p>&nbsp;</p><p>LAMIN A. SANNEH</p><p>&nbsp;</p><p>Hello!</p>,full_name,TRUE
Laurel and Lauren,1,"<p>Hi Laurel and Lauren,</p><p>&nbsp;</p><p>I hope yo",greeting,TRUE
Liz and Jia,1,"tatus</p><p>&nbsp;</p><p>Dear Liz and Jia,</p><p>&nbsp;</p><p>I have ju",greeting,TRUE
Madam or Sir,1,"v dir=""ltr""><div><div><p>Dear Madam or Sir,</p><p>&nbsp;</p><p>Hoping yo",greeting,TRUE
Manager,1,"v dir=""ltr""><div dir=""ltr"">Hi Manager</div><div dir=""ltr"">I'm so so",greeting,TRUE
Melanija and Ayoola,1,"<p>Hello Melanija and Ayoola,</p><p>Thank you for sending ",greeting,TRUE
Melanija and Christianah,1,"l><head></head><body><p>Hello Melanija and Christianah,</p><p>Before we can proceed ",greeting,TRUE
Melanija and Nana,1,"<div>Hello Melanija and Nana,</div><div>&nbsp;</div><div>I",greeting,TRUE
Ms Kathleen please,1,CAMS.</p><p>&nbsp;</p><p>Dear Ms Kathleen please provide the following to fina,greeting,TRUE
My name,1,"iv>&nbsp;</div></div><div>Hi, My name&nbsp;is Cheng-Lun Lee, and in",greeting,TRUE
Nathan and Alissa,1,<p>Hello Nathan and Alissa;</p><p>&nbsp;</p><p>I have a ,greeting,TRUE
Next year I,1,"&nbsp;</div></div><div>Hello, Next year I am starting to a MS Program i",greeting,TRUE
Nicole and the,1,"3282</p><p>&nbsp;</p><p>Hello Nicole and the ISSS team,&nbsp;</p><p>I hope",greeting,TRUE
International Student Support,1,"iv><div>&nbsp;</div><div>Dear International Student Support Services Office,</div><div>&n",greeting,TRUE
International Student Advisor,1," Form</p><p>&nbsp;</p><p>Dear International Student Advisor,</p><p>I hope this email find",greeting,TRUE
I was asked,1,"iEagle</p><p>&nbsp;</p><p>Hi, I was asked to submit my visa and passpor",greeting,TRUE
International Office Team,1,"div>&nbsp;</div></div><p>Dear International Office Team,</p><p>I hope this message fi",greeting,TRUE
I was doing,1,"iv><div dir=""ltr""><div>Hello, I was doing the USCIS application and it ",greeting,TRUE
I was going,1,"isa</p><p>&nbsp;</p><p>Hello, I was going to transfer to Boston univers",greeting,TRUE
I will no,1,"&nbsp;</div></div><div>Hello, I will no longer need&nbsp;the I-20 stu",greeting,TRUE
I would like,1,"&nbsp;</div></div><div>Hello, I would like to know if I should do the ta",greeting,TRUE
I. Rudenko,1, of Non-arrival to the U.S. - I. Rudenko<div>&nbsp;</div></div><p>Hell,first_initial_last,TRUE
IAP team,1,"<head></head><body><div>Hello IAP team,</div><div>&nbsp;</div><div>W",greeting,TRUE
ISS office,1,/div><div>&nbsp;</div><p>Dear ISS office</p><p>I hope this message fin,greeting,TRUE
ISSS Department,1,"div lang=""en-US""><div><p>Dear ISSS Department,</p><p>I&rsquo;m studying in ",greeting,TRUE
ISSS Employment Office,1,"v>&nbsp;</div></div><div>Dear ISSS Employment Office,</div><div>&nbsp;</div><div>I",greeting,TRUE
ISSS Employment office,1,"iv><div>&nbsp;</div><div>Dear ISSS Employment office,</div><div>&nbsp;</div><div>H",greeting,TRUE
ISSS Immigration Team,1,"<div><div dir=""ltr""><div>Dear ISSS Immigration Team,</div><div>&nbsp;</div><div>T",greeting,TRUE
ISSS Immigration team,1,"nding OPT Early</div><p>Hello ISSS Immigration team,</p><div>&nbsp;</div><div>Hop",greeting,TRUE
ISSS and Jordan,1,"5958)</p><p>&nbsp;</p><p>Dear ISSS and Jordan Miles,</p><p>&nbsp;</p><p>&nb",greeting,TRUE
ISSS and KSB,1," /><br /></span></p><div>Dear ISSS and KSB,</div><div>&nbsp;</div><div>H",greeting,TRUE
ISSS email holders,1,"ass=""x_x_elementToProof"">Dear ISSS email holders,</div><div class=""x_x_element",greeting,TRUE
ISSS office and,1,v>&nbsp;</div></div><div>Dear ISSS office and AU Central</div><div>&nbsp;</,greeting,TRUE
ISSS office member,1,"nbsp;</p><p>&nbsp;</p><p>Dear ISSS office member,</p><p>&nbsp;</p><p>My name i",greeting,TRUE
ISSS team at,1,"div>&nbsp;</div></div><div>Hi ISSS team at AU,</div><div>&nbsp;</div><di",greeting,TRUE
ISSSI office,1,ation</p><p>&nbsp;</p><p>Dear ISSSI office&nbsp;</p><p>&nbsp;</p><p>Plea,greeting,TRUE
In,1,"<p>Dear In,</p><p>&nbsp;</p><p>I&rsquo;m",greeting,TRUE
International Admissions Office,1," i-20</p><p>&nbsp;</p><p>Dear International Admissions Office,</p><p>I hope this message fi",greeting,TRUE
yes my ID,1,"-20</p><p>&nbsp;</p><p>Hello, yes my ID number is 5535261. I mean thi",greeting,TRUE